"Orders_Unique","Returns_Unique","Frequency","Total_Items_Purchased","Quantity_Basket","Total_Items_Returned","Types_Items_Purchased","Unique_Item_Per_Basket","Types_Items_Returned","Unique_Item_Per_Return","Sales_Revenue","Return_Refund","Monetory_Value","Average_Unit_Price_Purchase","Average_Unit_Refund_Return","Country","Is_Buying_Most_Popular","Recency","Recency_Quantile","Frequency_Quantile","Monetory_Value_Quantile"
2,3,5,70,35,-4,10,5,1,1,326.9,-16.6,310.3,4.67,4.15,"United Kingdom","1",179,0.98,0.78,0.73
3,3,6,1161,387,-19,127,47.6666666666667,12,4,2514.69,-72.89,2441.8,2.16596899224806,3.83631578947368,"United Kingdom","1",35,0.52,0.84,0.93
2,0,2,233,116.5,0,14,7.5,0,0,184.19,0,0,0.790515021459227,0,"United Kingdom","0",22,0.38,0.36,0.01
49,2,51,118733,2423.12244897959,-769,565,26.1836734693878,4,2,169492.9,-672,168820.9,1.4275129913335,0.873862158647594,"Netherlands","1",1,0.03,1,1
3,1,4,409,136.333333333333,-12,28,11.3333333333333,1,1,492.54,-10.2,482.34,1.20425427872861,0.85,"Belgium","0",0,0.01,0.69,0.76
5,4,9,2414,482.8,-76,140,33.4,9,2.75,3928.05,-1090.32,2837.73,1.62719552609776,14.3463157894737,"Germany","0",29,0.45,0.92,0.94
25,10,35,15656,626.24,-142,49,7.28,4,1.2,17101.04,-344.73,16756.31,1.09229943791518,2.42767605633803,"United Kingdom","0",17,0.32,1,1
3,0,3,859,286.333333333333,0,51,18.6666666666667,0,0,1077.47,0,0,1.25433061699651,0,"United Kingdom","1",44,0.58,0.57,0.01
45,16,61,2782,61.8222222222222,-206,563,29.2,44,3.0625,5336.69,-311.78,5024.91,1.91829259525521,1.51349514563107,"United Kingdom","1",1,0.03,1,0.98
4,1,5,450,112.5,-5,20,7.25,1,1,1720.58,-5.3,1715.28,3.82351111111111,1.06,"United Kingdom","0",11,0.25,0.78,0.89
4,1,5,424,106,-3,75,22.75,3,3,769.26,-18.55,750.71,1.81429245283019,6.18333333333333,"United Kingdom","1",16,0.3,0.78,0.79
19,2,21,2179,114.684210526316,-12,152,13.5789473684211,7,3.5,3642.39,-23.5,3618.89,1.67158788435062,1.95833333333333,"United Kingdom","1",0,0.01,0.99,0.96
3,0,3,816,272,0,42,14,0,0,650.41,0,0,0.797071078431372,0,"United Kingdom","0",39,0.55,0.57,0.01
9,0,9,1360,151.111111111111,0,202,37.5555555555556,0,0,1461.07,0,0,1.07431617647059,0,"United Kingdom","0",8,0.19,0.92,0.01
3,0,3,687,229,0,99,42.3333333333333,0,0,1272.8,0,0,1.85269286754003,0,"United Kingdom","1",28,0.45,0.57,0.01
9,0,9,1767,196.333333333333,0,132,16,0,0,2623.33,0,0,1.48462365591398,0,"United Kingdom","1",10,0.24,0.92,0.01
5,2,7,912,182.4,-168,3,2.2,3,2,986.88,-212.1,774.78,1.08210526315789,1.2625,"United Kingdom","0",21,0.36,0.88,0.8
2,0,2,566,283,0,45,23.5,0,0,866.24,0,0,1.5304593639576,0,"United Kingdom","0",11,0.25,0.36,0.01
2,0,2,228,114,0,16,9,0,0,272.04,0,0,1.19315789473684,0,"United Kingdom","0",49,0.61,0.36,0.01
5,0,5,933,186.6,0,59,16.4,0,0,1651.49,0,0,1.7700857449089,0,"United Kingdom","0",17,0.32,0.78,0.01
22,3,25,3372,153.272727272727,-4,272,28.1363636363636,3,1,6889.63,-33.7,6855.93,2.04318801897983,8.425,"United Kingdom","1",9,0.21,1,0.99
